Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
			2	x				90	1	2	2	2	2		1									x	x	x		x	x	x		1		1				3								x									avg			x	x	x	x	x	x	x	x	x	16000	120000	1	300	16000	2	370	2000	5	1	3	6000			1	2	2	2																																																																																																		
			3			x		20	1	2	2	2						1									x						1		1	1	1												x				x		strong			x	x	x	x	x	x	x	x	x				5000	9000	4	300	1000	4	1	3	5500			1	2	2	2																																																																																																		
			4			x		20	1	2	2	2						1									x						1		1	1	1																x	x	strong			x	x	x	x	x	x	x	x	x				5000	9000	4	300	1000	4	2	4	6500			1	2	2	2																																																																																																		
			5			x		15	1	2	2	2						1									x																					x							strong			x	x	x	x	x	x	x	x	x	85000	100000	4	20000	20000	2	300	400	1	2	4	6000			1	2	2	2																																																																																																		
			6			x		15	1	2	2	2						1									x																					x							strong			x	x	x	x	x	x	x	x	x	85000	100000	4	20000	20000	2	300	400	1	2	4	5500			1	2	2	2																																																																																																		
			7			x		15	1	2	2	2						1									x																					x							strong			x	x	x	x	x	x	x	x	x	85000	100000	4	20000	20000	2	300	400	1	3	5	80000			1	2	2	2																																																																																																		
			8			x		15	1	2	2	2						1									x																					x							strong			x	x	x	x	x	x	x	x	x	85000	100000	4	20000	20000	2	300	400	1	3	7	80000			1	2	2	2																																																																																																		
			9			x		25	1	2	2	2															x																					x							strong			x	x	x	x	x	x	x	x	x	115000	120000	4	20000	20000	2	300	400	1	4	6	80000			1	2	2	2																																																																																																		
			10			x		25	1	2	2	2															x																					x							strong			x	x	x	x	x	x	x	x	x	115000	120000	4	20000	20000	2	300	400	1	4	8	80000			1	2	2	2																																																																																																		
																																																																												5	9	160000			1	2	2	2																																																																																																		
																																																																												6	9	160000			1	2	2	2																																																																																																		
																																																																												7	10	160000			1	2	2	2																																																																																																		
																																																																												8	10	160000			1	2	2	2																																																																																																		
																																																																												3	5	70000			1	2	2	2																																																																																																		
																																																																												3	7	70000			1	2	2	2																																																																																																		
																																																																												4	6	70000			1	2	2	2																																																																																																		
																																																																												4	8	70000			1	2	2	2																																																																																																		
